Moved to 803, 359 at time 1607794546239
Moved to 802, 358 at time 1607794546342
Moved to 801, 357 at time 1607794546443
Moved to 800, 356 at time 1607794546547
Moved to 799, 355 at time 1607794546647
Moved to 798, 354 at time 1607794546748
Moved to 797, 353 at time 1607794546849
Moved to 796, 352 at time 1607794547050
Moved to 795, 351 at time 1607794547151
Moved to 794, 350 at time 1607794547261
Moved to 793, 349 at time 1607794547362
Moved to 792, 348 at time 1607794547463
Moved to 791, 347 at time 1607794547566
Moved to 790, 346 at time 1607794547768
Moved to 789, 345 at time 1607794547869
Moved to 788, 344 at time 1607794548070
Moved to 787, 343 at time 1607794548271
Moved to 786, 342 at time 1607794548372
Moved to 785, 341 at time 1607794548475
Moved to 784, 340 at time 1607794548576
Moved to 783, 339 at time 1607794548677
Moved to 782, 338 at time 1607794548778
Moved to 781, 337 at time 1607794548881
Moved to 780, 336 at time 1607794548983
Moved to 779, 335 at time 1607794549086
Moved to 778, 334 at time 1607794549287
Moved to 777, 333 at time 1607794549388
Moved to 776, 332 at time 1607794549593
Moved to 775, 331 at time 1607794549693
Moved to 774, 330 at time 1607794549795
Moved to 773, 329 at time 1607794549997
Moved to 772, 328 at time 1607794550098
Moved to 771, 327 at time 1607794550299
Moved to 770, 326 at time 1607794550500
Moved to 769, 325 at time 1607794550601
Moved to 768, 324 at time 1607794550702
Moved to 767, 323 at time 1607794551104
Moved to 766, 322 at time 1607794551306
Moved to 765, 321 at time 1607794551508
Moved to 764, 320 at time 1607794551709
Moved to 763, 319 at time 1607794551910
Moved to 762, 318 at time 1607794552311
Moved to 761, 317 at time 1607794552712
Moved to 760, 316 at time 1607794552913
Moved to 759, 315 at time 1607794553114
Moved to 758, 314 at time 1607794553315
Moved to 757, 313 at time 1607794553517
Moved to 756, 312 at time 1607794553718
Moved to 755, 311 at time 1607794554119
Moved to 754, 310 at time 1607794554322
Moved to 753, 309 at time 1607794554722
Moved to 752, 308 at time 1607794554925
Moved to 751, 307 at time 1607794555326
Moved to 750, 306 at time 1607794555726
Moved to 749, 305 at time 1607794555927
Moved to 748, 304 at time 1607794556328
Moved to 747, 303 at time 1607794556729
Moved to 746, 302 at time 1607794556930
Moved to 745, 301 at time 1607794557330
Moved to 744, 300 at time 1607794557532
Moved to 743, 299 at time 1607794557733
Moved to 742, 298 at time 1607794557934
Moved to 741, 297 at time 1607794558135
Moved to 740, 296 at time 1607794558337
Moved to 739, 295 at time 1607794558538
Moved to 738, 294 at time 1607794559542
Moved to 737, 293 at time 1607794560345
Moved to 736, 292 at time 1607794560546
Moved to 735, 291 at time 1607794560947
Moved to 734, 290 at time 1607794561148
Moved to 733, 289 at time 1607794561551
Moved to 732, 288 at time 1607794561757
Moved to 731, 287 at time 1607794562158
Moved to 730, 286 at time 1607794562359
Moved to 729, 285 at time 1607794562760
Moved to 728, 284 at time 1607794563161
Moved to 727, 283 at time 1607794563363
Moved to 726, 282 at time 1607794563764
Moved to 725, 281 at time 1607794563965
Moved to 724, 280 at time 1607794564366
Moved to 723, 279 at time 1607794564767
Moved to 722, 278 at time 1607794565168
Moved to 721, 277 at time 1607794565569
Moved to 720, 276 at time 1607794565670
Moved to 719, 275 at time 1607794565871
Moved to 718, 274 at time 1607794565972
Moved to 717, 273 at time 1607794566074
