Moved to 773, 393 at time 1607794546215
Moved to 772, 392 at time 1607794546249
Moved to 771, 391 at time 1607794546283
Moved to 770, 390 at time 1607794546321
Moved to 769, 389 at time 1607794546363
Moved to 766, 388 at time 1607794546468
Moved to 763, 387 at time 1607794546604
Moved to 758, 386 at time 1607794546780
Moved to 757, 384 at time 1607794547195
Moved to 756, 383 at time 1607794547264
Moved to 755, 382 at time 1607794547331
Moved to 753, 381 at time 1607794547468
Moved to 750, 380 at time 1607794547737
Moved to 748, 379 at time 1607794547876
Moved to 745, 378 at time 1607794548080
Moved to 744, 377 at time 1607794548147
Moved to 743, 376 at time 1607794548215
Moved to 742, 375 at time 1607794548283
Moved to 741, 374 at time 1607794548352
Moved to 740, 373 at time 1607794548485
Moved to 739, 372 at time 1607794548552
Attacked Unit@5cb74f0eat position 470, 122 at time 1607794548619
Got attacked at 739, 372 by Unit@5cb74f0e at time 1607794549588
Attacked Unit@5cb74f0eat position 470, 122 at time 1607794550350
Got attacked at 739, 372 by Unit@5cb74f0e at time 1607794551285
Attacked Unit@5cb74f0eat position 470, 122 at time 1607794552036
Moved to 738, 371 at time 1607794552102
Moved to 737, 370 at time 1607794552170
Moved to 736, 369 at time 1607794552238
Moved to 735, 368 at time 1607794552306
Moved to 734, 367 at time 1607794552374
Moved to 733, 366 at time 1607794552441
Moved to 732, 365 at time 1607794552508
Moved to 731, 364 at time 1607794552576
Moved to 730, 363 at time 1607794552612
Moved to 729, 362 at time 1607794552679
Moved to 728, 361 at time 1607794552746
Moved to 727, 360 at time 1607794552881
Moved to 726, 359 at time 1607794552950
Moved to 725, 358 at time 1607794553018
Moved to 724, 357 at time 1607794553088
Moved to 723, 356 at time 1607794553159
Moved to 722, 355 at time 1607794553227
Moved to 721, 354 at time 1607794553294
Moved to 720, 353 at time 1607794553364
Moved to 719, 352 at time 1607794553434
Moved to 718, 351 at time 1607794553501
Moved to 717, 350 at time 1607794553569
Moved to 716, 349 at time 1607794553636
Attacked Unit@6b719af5at position 447, 174 at time 1607794553703
