Moved to 772, 390 at time 1607794423047
Moved to 771, 389 at time 1607794423099
Moved to 770, 388 at time 1607794423133
Moved to 769, 387 at time 1607794423172
Moved to 768, 386 at time 1607794423207
Moved to 767, 385 at time 1607794423242
Moved to 766, 384 at time 1607794423375
Moved to 765, 383 at time 1607794423442
Moved to 764, 382 at time 1607794423512
Moved to 763, 381 at time 1607794423579
Moved to 761, 380 at time 1607794424258
Moved to 760, 379 at time 1607794424326
Moved to 759, 378 at time 1607794424393
Moved to 758, 377 at time 1607794424461
Moved to 757, 376 at time 1607794424528
Moved to 756, 375 at time 1607794424595
Moved to 755, 374 at time 1607794424662
Moved to 754, 373 at time 1607794424796
Moved to 753, 372 at time 1607794424864
Moved to 752, 371 at time 1607794424932
Moved to 751, 370 at time 1607794425000
Moved to 750, 369 at time 1607794425069
Moved to 749, 368 at time 1607794425138
Moved to 748, 367 at time 1607794425205
Moved to 747, 366 at time 1607794425272
Moved to 746, 365 at time 1607794425340
Moved to 745, 364 at time 1607794425407
Moved to 744, 363 at time 1607794425476
Moved to 743, 362 at time 1607794425543
Moved to 742, 361 at time 1607794425610
Moved to 741, 360 at time 1607794425677
Moved to 740, 359 at time 1607794425746
Moved to 739, 358 at time 1607794425812
Moved to 738, 357 at time 1607794425879
Moved to 737, 356 at time 1607794425947
Moved to 736, 355 at time 1607794426015
Moved to 735, 354 at time 1607794426148
Moved to 734, 353 at time 1607794426216
Moved to 733, 352 at time 1607794426283
Moved to 732, 351 at time 1607794426350
Moved to 731, 350 at time 1607794426417
Moved to 730, 349 at time 1607794426550
Moved to 729, 348 at time 1607794426617
Moved to 728, 347 at time 1607794426684
Moved to 727, 346 at time 1607794426751
Moved to 726, 345 at time 1607794426884
Moved to 725, 344 at time 1607794426952
Moved to 724, 343 at time 1607794427019
Moved to 723, 342 at time 1607794427086
Moved to 722, 341 at time 1607794427155
Moved to 721, 340 at time 1607794427221
Moved to 720, 339 at time 1607794427288
Moved to 719, 338 at time 1607794427355
Moved to 718, 337 at time 1607794427424
Moved to 717, 336 at time 1607794427491
Moved to 716, 335 at time 1607794427558
Moved to 715, 334 at time 1607794427625
Moved to 714, 333 at time 1607794427758
Moved to 713, 332 at time 1607794427825
Moved to 712, 331 at time 1607794427892
Moved to 711, 330 at time 1607794427959
Moved to 710, 329 at time 1607794428027
Moved to 709, 328 at time 1607794428094
Moved to 708, 327 at time 1607794428128
Moved to 707, 326 at time 1607794428162
Moved to 706, 325 at time 1607794428196
Moved to 705, 324 at time 1607794428230
Moved to 704, 323 at time 1607794428264
Moved to 703, 322 at time 1607794428298
Moved to 702, 321 at time 1607794428332
Moved to 701, 320 at time 1607794428366
Moved to 700, 319 at time 1607794428433
Moved to 699, 318 at time 1607794428468
Moved to 698, 317 at time 1607794428504
Moved to 697, 316 at time 1607794428539
Moved to 696, 315 at time 1607794428574
Moved to 695, 314 at time 1607794428609
Moved to 694, 313 at time 1607794428643
Moved to 693, 312 at time 1607794428678
