Attacked Unit@75c59f7dat position 642, 406 at time 1607794547264
Attacked Unit@75c59f7dat position 550, 314 at time 1607794548377
Attacked Unit@75c59f7dat position 453, 217 at time 1607794549493
Attacked Unit@75c59f7dat position 367, 131 at time 1607794550609
Attacked Unit@75c59f7dat position 275, 100 at time 1607794551722
Attacked Unit@75c59f7dat position 184, 100 at time 1607794552835
Attacked Unit@75c59f7dat position 273, 194 at time 1607794553950
Attacked Unit@d2aaf76at position 266, 187 at time 1607794555064
Attacked Unit@d2aaf76at position 368, 264 at time 1607794556176
Attacked Unit@d2aaf76at position 470, 264 at time 1607794557291
Attacked Unit@d2aaf76at position 572, 264 at time 1607794558407
Attacked Unit@11a722bdat position 554, 100 at time 1607794561751
Attacked Unit@d2aaf76at position 587, 100 at time 1607794563976
Attacked Unit@d2aaf76at position 489, 100 at time 1607794565090
Attacked Unit@d2aaf76at position 395, 100 at time 1607794566204
Attacked Unit@11a722bdat position 293, 214 at time 1607794567321
Attacked Unit@11a722bdat position 395, 293 at time 1607794568436
Attacked Unit@11a722bdat position 596, 293 at time 1607794570660
Attacked Unit@4070ca6bat position 578, 453 at time 1607794571773
Attacked Unit@11a722bdat position 617, 156 at time 1607794573998
Attacked Unit@4070ca6bat position 604, 270 at time 1607794576224
Attacked Unit@4070ca6bat position 506, 172 at time 1607794577336
Attacked Unit@4070ca6bat position 457, 123 at time 1607794578449
